True_Class,Pred_Class
0,0.0055571897
0,7.4191244e-05
0,5.8374328e-05
0,3.05602e-05
0,0.00016827197
0,2.3291961e-05
0,0.0001546358
0,0.00081190356
0,4.9154565e-05
0,7.3067e-05
0,0.0044920286
0,0.00010593971
0,0.00014366116
1,0.98778045
0,0.00047726027
0,0.00085089594
0,0.00026996026
0,0.00076939666
0,0.0002378922
0,0.00051584776
0,0.00015390075
0,0.0047065746
0,0.0025148853
0,0.00020465623
0,0.001586094
0,0.00748651
0,0.00025559936
0,0.0019448015
1,0.9746927
0,0.0038103245
0,0.00026198616
0,2.6274618e-05
0,2.1301039e-05
0,7.679029e-06
0,2.4566825e-05
0,2.4622518e-06
0,2.7914211e-05
0,0.0008223451
0,1.2427322e-05
0,2.0971618e-05
0,0.00086342305
0,2.841603e-05
0,3.3188167e-05
1,0.99735343
0,0.0004936977
0,0.004281201
0,0.0037323283
0,0.0007164928
0,0.00028440994
0,0.0022172185
0,0.0010198889
0,0.028998803
0,0.0066484786
0,0.00023089675
0,0.0012737176
1,0.6674036
0,0.00057674415
0,0.0006707186
0,0.2785472
0,0.0033983511
0,0.86227477
1,0.05930288
0,0.000561206
0,0.0002156105
0,0.00059690897
0,0.000689699
0,0.0010492761
0,0.002116548
0,0.00039065615
0,0.00046926018
0,0.061191175
0,0.00042033533
0,0.0010570257
0,0.008422809
0,0.0012419148
0,0.0018486291
0,4.0770632e-05
0,5.509894e-05
0,1.4116557e-05
0,0.00012060646
0,1.2083033e-05
0,8.834931e-05
0,0.0005802329
0,1.6118216e-05
0,3.6281315e-05
0,0.01289482
0,5.5065684e-05
0,7.415087e-05
1,0.9838912
0,0.00027242588
0,0.0027475115
0,0.0002795497
0,0.00018930873
0,7.75617e-05
0,0.00040229523
0,4.1895346e-05
0,0.0002775137
0,0.0028322178
0,9.797455e-05
0,0.00047506278
0,0.005755465
0,0.00025298074
0,0.00064070325
1,0.9808404
0,0.0050894837
0,0.0005545084
0,0.00033598972
0,0.00032795625
0,0.0013693165
0,0.0026328098
0,0.0031187919
0,0.0052458965
0,0.00019793076
0,0.00043939252
0,0.8472845
0,0.0005079563
0,0.00022328037
1,0.13001493
0,0.0016032131
0,0.006143532
0,0.030011794
0,0.0022517645
0,0.00053623016
0,0.0002995269
0,0.0012130602
0,0.0006368034
0,0.006566951
0,0.004150589
0,0.00036124414
0,0.0010202744
0,0.0728793
0,0.0012078753
0,0.0018671391
1,0.87422466
0,0.0027727466
0,0.006382027
0,0.00074019184
0,0.0009591884
0,0.00035047063
0,0.0012173902
0,0.00036798968
0,0.001673739
0,0.017587202
0,0.0003203182
0,0.00088027504
0,0.15389694
0,0.00079525774
0,0.0009599296
1,0.81096214
0,0.002906935
0,0.0076675494
0,0.003580517
0,0.024241721
0,0.0033795664
0,0.011640894
0,0.0012383804
0,0.0018729408
0,0.012148554
0,0.006086875
0,0.009804738
0,0.013202918
0,0.0031539695
0,0.007093309
1,0.71529186
0,0.17959632
0,0.0018856045
0,8.74399e-05
0,7.559134e-05
0,2.7939901e-05
0,0.00012791825
0,2.0415882e-05
0,0.00027155626
0,0.0030062827
0,2.94079e-05
0,0.00010675002
0,0.006648195
0,0.0001253899
0,0.00015635505
1,0.9861886
0,0.0012425149
0,0.006701354
0,0.0005792187
0,0.00076509715
0,0.00022459753
